Sample	Sum of remaining over-represented sequences	Top over-represented sequence
230929-COI-COL-071-B1_S107_L001_R1_001	40.80096258597421	0.5251947122811012
230929-COI-COL-071-B1_S107_L001_R2_001	46.568348482138504	18.74115868034666
230929-COI-COL-071-B2_S108_L001_R1_001	39.03671935830728	0.4041477672998727
230929-COI-COL-071-B2_S108_L001_R2_001	52.31179938450894	15.839626256009689
230929-COI-COL-071-B3_S109_L001_R1_001	37.90955553527425	0.4061330656201515
230929-COI-COL-071-B3_S109_L001_R2_001	50.75864743999268	15.172948799853975
230929-COI-COL-071-S1_S104_L001_R1_001	43.23017537298479	0.34727323725440434
230929-COI-COL-071-S1_S104_L001_R2_001	56.08329215028916	12.43505322630194
230929-COI-COL-071-S2_S105_L001_R1_001	43.25562324273662	0.6302717900656045
230929-COI-COL-071-S2_S105_L001_R2_001	49.11668228678536	23.407919400187442
230929-COI-COL-071-S3_S106_L001_R1_001	52.15501975207735	0.840484947554829
230929-COI-COL-071-S3_S106_L001_R2_001	51.67960768287698	22.127775507424058
230929-COI-COL-072-B1_S113_L001_R1_001	54.02064801914763	0.7549506424225104
230929-COI-COL-072-B1_S113_L001_R2_001	44.31584086497815	26.712630538587028
230929-COI-COL-072-B2_S114_L001_R1_001	71.66902037640142	1.5130991151972795
230929-COI-COL-072-B2_S114_L001_R2_001	22.72530766348674	58.26152116897715
230929-COI-COL-072-S1_S110_L001_R1_001	47.1488881986863	1.0514085884207014
230929-COI-COL-072-S1_S110_L001_R2_001	31.131587120819972	36.14360814899173
230929-COI-COL-072-S2_S111_L001_R1_001	51.4468046126757	0.7877782414428353
230929-COI-COL-072-S2_S111_L001_R2_001	26.639932417990657	26.837385879024133
230929-COI-COL-072-S3_S112_L001_R1_001	58.97214117890061	0.7410084944876197
230929-COI-COL-072-S3_S112_L001_R2_001	45.53071183289869	24.26996462781751
230929-COI-COL-073-B1_S118_L001_R1_001	38.02977340495629	0.46346448075226426
230929-COI-COL-073-B1_S118_L001_R2_001	53.76299654914396	14.659995756228849
230929-COI-COL-073-B2_S119_L001_R1_001	52.50499518981718	0.45881743506253236
230929-COI-COL-073-B2_S119_L001_R2_001	53.9936850933669	17.724906879794766
230929-COI-COL-073-B3_S120_L001_R1_001	39.35453615279672	0.49027967257844474
230929-COI-COL-073-B3_S120_L001_R2_001	51.97817189631655	17.74101864483856
230929-COI-COL-073-S1_S115_L001_R1_001	40.46777148212834	0.5218761981851489
