Sample	Duplicate Reads	Unique Reads
230929-COI-COL-071-B1_S107_L001_R1_001	46220.0	15281.0
230929-COI-COL-071-B1_S107_L001_R2_001	47890.0	13611.0
230929-COI-COL-071-B2_S108_L001_R1_001	63230.0	17681.0
230929-COI-COL-071-B2_S108_L001_R2_001	65447.0	15464.0
230929-COI-COL-071-B3_S109_L001_R1_001	67969.0	19687.0
230929-COI-COL-071-B3_S109_L001_R2_001	69302.0	18354.0
230929-COI-COL-071-S1_S104_L001_R1_001	60436.0	14433.0
230929-COI-COL-071-S1_S104_L001_R2_001	61331.0	13538.0
230929-COI-COL-071-S2_S105_L001_R1_001	70429.0	14931.0
230929-COI-COL-071-S2_S105_L001_R2_001	71636.0	13724.0
230929-COI-COL-071-S3_S106_L001_R1_001	60265.0	13145.0
230929-COI-COL-071-S3_S106_L001_R2_001	61693.0	11717.0
230929-COI-COL-072-B1_S113_L001_R1_001	68265.0	15714.0
230929-COI-COL-072-B1_S113_L001_R2_001	70323.0	13656.0
230929-COI-COL-072-B2_S114_L001_R1_001	59420.0	9974.0
230929-COI-COL-072-B2_S114_L001_R2_001	61289.0	8105.0
230929-COI-COL-072-S1_S110_L001_R1_001	68343.0	18588.0
230929-COI-COL-072-S1_S110_L001_R2_001	70509.0	16422.0
230929-COI-COL-072-S2_S111_L001_R1_001	78149.0	20102.0
230929-COI-COL-072-S2_S111_L001_R2_001	76833.0	21418.0
230929-COI-COL-072-S3_S112_L001_R1_001	61993.0	15469.0
230929-COI-COL-072-S3_S112_L001_R2_001	64680.0	12782.0
230929-COI-COL-073-B1_S118_L001_R1_001	72221.0	17322.0
230929-COI-COL-073-B1_S118_L001_R2_001	72234.0	17309.0
230929-COI-COL-073-B2_S119_L001_R1_001	65143.0	15935.0
230929-COI-COL-073-B2_S119_L001_R2_001	68037.0	13041.0
230929-COI-COL-073-B3_S120_L001_R1_001	53942.0	16426.0
230929-COI-COL-073-B3_S120_L001_R2_001	56839.0	13529.0
230929-COI-COL-073-S1_S115_L001_R1_001	35264.0	11682.0
230929-COI-COL-073-S1_S115_L001_R2_001	36715.0	10231.0
230929-COI-COL-073-S2_S116_L001_R1_001	67059.0	13408.0
230929-COI-COL-073-S2_S116_L001_R2_001	66838.0	13629.0
230929-COI-COL-073-S3_S117_L001_R1_001	50131.0	11318.0
230929-COI-COL-073-S3_S117_L001_R2_001	49987.0	11462.0
230929-COI-COL-074-B1_S124_L001_R1_001	67318.0	17023.0
230929-COI-COL-074-B1_S124_L001_R2_001	69060.0	15281.0
230929-COI-COL-074-B2_S125_L001_R1_001	58663.0	13839.0
230929-COI-COL-074-B2_S125_L001_R2_001	57461.0	15041.0
230929-COI-COL-074-B3_S126_L001_R1_001	68574.0	18168.0
230929-COI-COL-074-B3_S126_L001_R2_001	69991.0	16751.0
230929-COI-COL-074-S1_S121_L001_R1_001	64225.0	16216.0
230929-COI-COL-074-S1_S121_L001_R2_001	66997.0	13444.0
230929-COI-COL-074-S2_S122_L001_R1_001	68876.0	15598.0
230929-COI-COL-074-S2_S122_L001_R2_001	72987.0	11487.0
230929-COI-COL-074-S3_S123_L001_R1_001	52452.0	13947.0
230929-COI-COL-074-S3_S123_L001_R2_001	53908.0	12491.0
230929-COI-COL-075-B1_S130_L001_R1_001	70730.0	19691.0
230929-COI-COL-075-B1_S130_L001_R2_001	75305.0	15116.0
230929-COI-COL-075-B2_S131_L001_R1_001	50492.0	17986.0
230929-COI-COL-075-B2_S131_L001_R2_001	53179.0	15299.0
230929-COI-COL-075-B3_S132_L001_R1_001	65530.0	18200.0
230929-COI-COL-075-B3_S132_L001_R2_001	62430.0	21300.0
230929-COI-COL-075-S1_S127_L001_R1_001	71122.0	21778.0
230929-COI-COL-075-S1_S127_L001_R2_001	72942.0	19958.0
230929-COI-COL-075-S2_S128_L001_R1_001	57330.0	16719.0
