Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>5k	>500	>50	>10k+	>1k	>10
230929-COI-COL-071-B1_S107_L001_R1_001										27.46784605128372	0.0	0.0	16.95582185655518	0.0	0.0	19.1525341051365
230929-COI-COL-071-B1_S107_L001_R2_001										9.573828067836295	0.0	2.847108177102811	3.1804360904700735	18.74115868034666	31.69541958667339	7.338092063543682
230929-COI-COL-071-B2_S108_L001_R1_001										33.17348691772442	0.0	0.0	17.014991781092807	0.0	0.0	16.90005067296165
230929-COI-COL-071-B2_S108_L001_R2_001										8.773837920678277	0.0	3.958670638108539	3.2838551000482012	30.083672183015906	24.681440100851553	6.075811694330808
230929-COI-COL-071-B3_S109_L001_R1_001										33.9303641507712	0.0	0.0	15.104499406771927	0.0	0.0	16.90814091448389
230929-COI-COL-071-B3_S109_L001_R2_001										8.73528338048736	0.0	3.57419914210094	2.7505247786802958	28.861686593045544	24.427306744546865	6.261978643789358
230929-COI-COL-071-S1_S104_L001_R1_001										29.934953051329654	0.0	0.0	27.20752247258545	0.0	0.0	15.322763760702026
230929-COI-COL-071-S1_S104_L001_R2_001										2.477660981180462	38.31492339953786	1.4892679213025417	1.4024496119889407	0.0	26.002751472572093	7.179206347086244
230929-COI-COL-071-S2_S105_L001_R1_001										37.550374882849106	0.0	2.4121368322399253	14.891049671977507	0.0	0.0	21.23477038425492
230929-COI-COL-071-S2_S105_L001_R2_001										3.2075913776944707	0.0	5.284676663542643	2.696813495782568	36.14222118088097	27.443767572633554	5.399484536082475
230929-COI-COL-071-S3_S106_L001_R1_001										41.400354175180496	0.0	8.229124097534395	6.049584525269037	0.0	0.0	19.2739408799891
230929-COI-COL-071-S3_S106_L001_R2_001										4.096172183626209	19.55591881215093	2.920583026835581	1.5215910638877537	22.127775507424058	24.626072742133225	5.0306497752349815
230929-COI-COL-072-B1_S113_L001_R1_001										47.12249490944165	0.0	5.235832767715738	4.846449707665011	0.0	0.0	15.056144988628109
230929-COI-COL-072-B1_S113_L001_R2_001										7.959132640302932	9.872706271806047	3.8259564891222806	2.9852701270555735	39.74088760285309	8.861739244334894	6.4444682599221235
230929-COI-COL-072-B2_S114_L001_R1_001										26.078623512119204	0.0	43.38991843675245	1.838775686658789	0.0	2.968556359339424	6.715277977923163
230929-COI-COL-072-B2_S114_L001_R2_001										4.194887166037409	10.266017234919445	1.5347148168429547	1.4669856183531718	58.26152116897715	5.909732829927659	3.9383808398420617
230929-COI-COL-072-S1_S110_L001_R1_001										21.780492574570637	0.0	25.56740403308371	3.5867527119209486	0.0	0.0	17.694493333793467
230929-COI-COL-072-S1_S110_L001_R2_001										8.560812598497659	8.893260171860442	1.3493460330607034	3.3440314732373952	36.14360814899173	11.568945485499995	6.9146794584210465
230929-COI-COL-072-S2_S111_L001_R1_001										36.68563169840511	0.0	15.548951155713429	0.8824337665774393	0.0	0.0	14.798831564055329
230929-COI-COL-072-S2_S111_L001_R2_001										6.650313991715097	17.250715005445237	2.6381410876225178	4.327691321207927	26.837385879024133	0.0	14.196293167499569
230929-COI-COL-072-S3_S112_L001_R1_001										57.417830678268054	0.0	2.0577831711032504	1.4678164777568357	0.0	0.0	11.222276729234979
230929-COI-COL-072-S3_S112_L001_R2_001										3.561746404688751	0.0	5.175440861325553	3.4649247372905423	58.83013606671659	1.3542123880096049	6.738788050915287
230929-COI-COL-073-B1_S118_L001_R1_001										34.997710597143275	0.0	0.0	15.26305797214746	0.0	0.0	22.62488413387981
230929-COI-COL-073-B1_S118_L001_R2_001										4.8300816367555255	19.36611460415666	3.523446835598539	2.567481545179411	14.659995756228849	25.51176529711982	6.070826306913997
230929-COI-COL-073-B2_S119_L001_R1_001										46.9880855472508	0.0	0.0	12.919657613655986	0.0	0.0	11.20032561237327
230929-COI-COL-073-B2_S119_L001_R2_001										8.030538493796097	17.099583117491797	2.9095438960013813	2.2484521078467647	31.100915168109722	12.25856582550137	6.270504945854609
230929-COI-COL-073-B3_S120_L001_R1_001										29.17661437016826	0.0	0.0	16.663824465666213	0.0	0.0	18.735788994997726
230929-COI-COL-073-B3_S120_L001_R2_001										11.188324238290132	9.947703501591633	7.013130968622101	2.0392792178262846	17.74101864483856	23.024670304683948	5.511027739881764
230929-COI-COL-073-S1_S115_L001_R1_001										25.35040259021003	0.0	0.0	15.121629105781109	0.0	0.0	23.39070421335151
230929-COI-COL-073-S1_S115_L001_R2_001										6.999531376475099	31.06334938013888	14.535849699654923	1.7956801431431857	0.0	13.176841477442167	6.264644485153155
230929-COI-COL-073-S2_S116_L001_R1_001										42.31672611132514	0.0	4.186809499546397	12.60765282662458	0.0	0.0	18.26587296655772
230929-COI-COL-073-S2_S116_L001_R2_001										5.154908223246797	20.28160612424969	0.761802975132663	2.4320528912473436	28.26251755377981	17.414592317347484	5.190947841972485
230929-COI-COL-073-S3_S117_L001_R1_001										43.012905010659246	0.0	7.861804097707041	13.03194519032043	0.0	0.0	10.61205227098895
230929-COI-COL-073-S3_S117_L001_R2_001										4.291363569789581	18.984849224560204	4.183957428111117	2.6281957395563804	36.793112988006314	6.5322462529902845	4.620091457957005
