	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B1_S107_L001_R1_001	113.0	39.0	297.0	704.0	57.0	4.0	4.0	1.0	5.0	1.0	0.0	39.0	1.0	1.0	3.0	0.0	5.0	11.0	65.0	47.0	17.0	1.0	69.0	2.0	4.0	1.0	3938.0	56072.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B1_S107_L001_R2_001	26.0	40.0	290.0	689.0	82.0	9.0	4.0	2.0	4.0	1.0	0.0	32.0	1.0	1.0	3.0	0.0	6.0	9.0	29.0	13.0	16.0	1.0	62.0	2.0	2.0	0.0	4025.0	56152.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B2_S108_L001_R1_001	157.0	64.0	308.0	565.0	41.0	4.0	4.0	0.0	2.0	1.0	0.0	27.0	5.0	2.0	3.0	3.0	4.0	4.0	90.0	77.0	10.0	6.0	77.0	3.0	3.0	7.0	6444.0	73000.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B2_S108_L001_R2_001	34.0	61.0	324.0	567.0	85.0	26.0	3.0	1.0	2.0	2.0	0.0	27.0	5.0	2.0	3.0	2.0	4.0	3.0	38.0	22.0	9.0	6.0	65.0	2.0	1.0	5.0	4736.0	74876.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B3_S109_L001_R1_001	136.0	64.0	785.0	933.0	13.0	5.0	10.0	5.0	4.0	1.0	3.0	28.0	4.0	0.0	1.0	0.0	12.0	4.0	118.0	114.0	15.0	2.0	163.0	1.0	5.0	2.0	6512.0	78716.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B3_S109_L001_R2_001	38.0	60.0	742.0	891.0	17.0	18.0	9.0	4.0	3.0	1.0	3.0	27.0	3.0	0.0	1.0	0.0	12.0	4.0	50.0	36.0	14.0	1.0	144.0	1.0	2.0	1.0	5185.0	80389.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S1_S104_L001_R1_001	139.0	69.0	2517.0	2599.0	54.0	7.0	4.0	1.0	3.0	1.0	0.0	12.0	2.0	0.0	0.0	1.0	0.0	1.0	97.0	112.0	8.0	2.0	9.0	1.0	2.0	2.0	17371.0	51855.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
