Sample	Total Bases	Total Sequences	Sequence length	median_sequence_length	Filename	per_base_sequence_quality	sequence_duplication_levels	basic_statistics	%GC	total_deduplicated_percentage	Sequences flagged as poor quality	per_base_n_content	per_sequence_gc_content	per_sequence_quality_scores	Encoding	per_base_sequence_content	avg_sequence_length	per_tile_sequence_quality	File type	adapter_content	overrepresented_sequences	sequence_length_distribution
230929-COI-COL-071-B1_S107_L001_R1_001	18.1 Mbp	61501.0	35-301	301	230929-COI-COL-071-B1_S107_L001_R1_001.fastq.gz	pass	fail	pass	38.0	24.846750459342122	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.37061185996976	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-B1_S107_L001_R2_001	18.2 Mbp	61501.0	35-301	301	230929-COI-COL-071-B1_S107_L001_R2_001.fastq.gz	fail	fail	pass	37.0	22.131347457764914	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.83044178143444	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-071-B2_S108_L001_R1_001	24 Mbp	80911.0	35-301	301	230929-COI-COL-071-B2_S108_L001_R1_001.fastq.gz	pass	fail	pass	38.0	21.85116980385856	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.6679932271261	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-B2_S108_L001_R2_001	24 Mbp	80911.0	35-301	301	230929-COI-COL-071-B2_S108_L001_R2_001.fastq.gz	fail	fail	pass	38.0	19.11235802301294	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	297.1122097119057	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-071-B3_S109_L001_R1_001	25.8 Mbp	87656.0	35-301	301	230929-COI-COL-071-B3_S109_L001_R1_001.fastq.gz	pass	fail	pass	38.0	22.459386693437985	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	294.6491512275258	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-B3_S109_L001_R2_001	25.9 Mbp	87656.0	35-301	301	230929-COI-COL-071-B3_S109_L001_R2_001.fastq.gz	fail	fail	pass	38.0	20.93752852058045	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.4164803322077	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-071-S1_S104_L001_R1_001	21.1 Mbp	74869.0	35-301	301	230929-COI-COL-071-S1_S104_L001_R1_001.fastq.gz	pass	fail	pass	39.0	19.27767166651084	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	281.62885840601587	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-S1_S104_L001_R2_001	21.2 Mbp	74869.0	35-301	301	230929-COI-COL-071-S1_S104_L001_R2_001.fastq.gz	fail	fail	pass	38.0	18.08225033057741	0.0	pass	warn	pass	Sanger / Illumina 1.9	fail	283.42382027274306	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-071-S2_S105_L001_R1_001	25.1 Mbp	85360.0	35-301	301	230929-COI-COL-071-S2_S105_L001_R1_001.fastq.gz	pass	fail	pass	38.0	17.491799437675727	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	293.2367970946579	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-S2_S105_L001_R2_001	25.2 Mbp	85360.0	35-301	301	230929-COI-COL-071-S2_S105_L001_R2_001.fastq.gz	fail	fail	pass	37.0	16.077788191190255	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.0119259606373	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-071-S3_S106_L001_R1_001	21.7 Mbp	73410.0	35-301	301	230929-COI-COL-071-S3_S106_L001_R1_001.fastq.gz	pass	fail	pass	39.0	17.906279798392593	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.63092221768153	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-071-S3_S106_L001_R2_001	21.7 Mbp	73410.0	35-301	301	230929-COI-COL-071-S3_S106_L001_R2_001.fastq.gz	fail	fail	pass	38.0	15.961040730145756	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.6497207464923	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-072-B1_S113_L001_R1_001	23.8 Mbp	83979.0	35-301	301	230929-COI-COL-072-B1_S113_L001_R1_001.fastq.gz	pass	fail	pass	38.0	18.711820812345945	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	282.48301361054547	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-072-B1_S113_L001_R2_001	23.9 Mbp	83979.0	35-301	301	230929-COI-COL-072-B1_S113_L001_R2_001.fastq.gz	fail	fail	pass	37.0	16.26120815918265	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	285.4722847378511	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-072-B2_S114_L001_R1_001	20.5 Mbp	69394.0	35-301	294	230929-COI-COL-072-B2_S114_L001_R1_001.fastq.gz	pass	fail	pass	37.0	14.373000547597774	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	293.71181946565986	fail	Conventional base calls	pass	fail	warn
230929-COI-COL-072-B2_S114_L001_R2_001	20.6 Mbp	69394.0	35-301	301	230929-COI-COL-072-B2_S114_L001_R2_001.fastq.gz	fail	fail	pass	35.0	11.679684122546616	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	297.74454563795143	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-072-S1_S110_L001_R1_001	24.1 Mbp	86931.0	35-301	301	230929-COI-COL-072-S1_S110_L001_R1_001.fastq.gz	warn	fail	pass	35.0	21.382475756634573	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	277.98008765572695	fail	Conventional base calls	pass	fail	warn
230929-COI-COL-072-S1_S110_L001_R2_001	24.3 Mbp	86931.0	35-301	301	230929-COI-COL-072-S1_S110_L001_R2_001.fastq.gz	fail	fail	pass	34.0	18.889694125225752	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	279.83749180384444	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-072-S2_S111_L001_R1_001	22.9 Mbp	98251.0	35-301	301	230929-COI-COL-072-S2_S111_L001_R1_001.fastq.gz	warn	fail	pass	36.0	20.45984264791198	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	233.49762343385817	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-072-S2_S111_L001_R2_001	23.3 Mbp	98251.0	35-301	301	230929-COI-COL-072-S2_S111_L001_R2_001.fastq.gz	fail	fail	pass	35.0	21.799269218633906	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	237.50775055724623	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-072-S3_S112_L001_R1_001	22.2 Mbp	77462.0	35-301	301	230929-COI-COL-072-S3_S112_L001_R1_001.fastq.gz	warn	fail	pass	37.0	19.96979163977176	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	287.28118303168003	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-072-S3_S112_L001_R2_001	22.3 Mbp	77462.0	35-301	301	230929-COI-COL-072-S3_S112_L001_R2_001.fastq.gz	fail	fail	pass	35.0	16.50099403578529	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	288.1435800779737	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-B1_S118_L001_R1_001	26.7 Mbp	89543.0	35-301	301	230929-COI-COL-073-B1_S118_L001_R1_001.fastq.gz	pass	fail	pass	38.0	19.34489574841138	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	298.2159967836682	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-B1_S118_L001_R2_001	26.7 Mbp	89543.0	35-301	301	230929-COI-COL-073-B1_S118_L001_R2_001.fastq.gz	fail	fail	pass	37.0	19.33037758395408	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	298.39068380554596	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-B2_S119_L001_R1_001	24 Mbp	81078.0	35-301	301	230929-COI-COL-073-B2_S119_L001_R1_001.fastq.gz	pass	fail	pass	37.0	19.65391351538025	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.32767211820715	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-B2_S119_L001_R2_001	24.1 Mbp	81078.0	35-301	301	230929-COI-COL-073-B2_S119_L001_R2_001.fastq.gz	fail	fail	pass	36.0	16.084511211426033	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	297.8666222649794	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-B3_S120_L001_R1_001	20.7 Mbp	70368.0	35-301	301	230929-COI-COL-073-B3_S120_L001_R1_001.fastq.gz	pass	fail	pass	37.0	23.34299681673488	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.34402000909506	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-B3_S120_L001_R2_001	20.8 Mbp	70368.0	35-301	301	230929-COI-COL-073-B3_S120_L001_R2_001.fastq.gz	fail	fail	pass	36.0	19.226068667576172	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.11839188267396	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-S1_S115_L001_R1_001	13.8 Mbp	46946.0	35-301	301	230929-COI-COL-073-S1_S115_L001_R1_001.fastq.gz	pass	fail	pass	37.0	24.883909172240447	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.3302517786393	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-S1_S115_L001_R2_001	13.9 Mbp	46946.0	35-301	301	230929-COI-COL-073-S1_S115_L001_R2_001.fastq.gz	fail	fail	pass	35.0	21.793124014825544	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.62322668597966	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-S2_S116_L001_R1_001	23.9 Mbp	80467.0	35-301	301	230929-COI-COL-073-S2_S116_L001_R1_001.fastq.gz	pass	fail	pass	39.0	16.66273130600122	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	296.5238172169958	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-S2_S116_L001_R2_001	24 Mbp	80467.0	35-301	301	230929-COI-COL-073-S2_S116_L001_R2_001.fastq.gz	fail	fail	pass	37.0	16.937378055600433	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	299.1619918724446	warn	Conventional base calls	pass	fail	warn
230929-COI-COL-073-S3_S117_L001_R1_001	18.2 Mbp	61449.0	35-301	294	230929-COI-COL-073-S3_S117_L001_R1_001.fastq.gz	pass	fail	pass	37.0	18.418525932073752	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	295.5430356881316	fail	Conventional base calls	pass	warn	warn
230929-COI-COL-073-S3_S117_L001_R2_001	18.3 Mbp	61449.0	35-301	301	230929-COI-COL-073-S3_S117_L001_R2_001.fastq.gz	fail	fail	pass	36.0	18.65286660482677	0.0	pass	fail	pass	Sanger / Illumina 1.9	fail	298.7819980797084	warn	Conventional base calls	pass	fail	warn
