Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails
230929-COI-COL-071-B1_S107_L001_R1_001	61501.0	75.15324954065788	295.37061185996976	38.0	301	36.36363636363637
230929-COI-COL-071-B1_S107_L001_R2_001	61501.0	77.86865254223508	295.83044178143444	37.0	301	45.45454545454545
230929-COI-COL-071-B2_S108_L001_R1_001	80911.0	78.14883019614143	296.6679932271261	38.0	301	36.36363636363637
230929-COI-COL-071-B2_S108_L001_R2_001	80911.0	80.88764197698706	297.1122097119057	38.0	301	45.45454545454545
230929-COI-COL-071-B3_S109_L001_R1_001	87656.0	77.54061330656202	294.6491512275258	38.0	301	36.36363636363637
230929-COI-COL-071-B3_S109_L001_R2_001	87656.0	79.06247147941954	295.4164803322077	38.0	301	45.45454545454545
230929-COI-COL-071-S1_S104_L001_R1_001	74869.0	80.72232833348916	281.62885840601587	39.0	301	36.36363636363637
230929-COI-COL-071-S1_S104_L001_R2_001	74869.0	81.91774966942259	283.42382027274306	38.0	301	36.36363636363637
230929-COI-COL-071-S2_S105_L001_R1_001	85360.0	82.50820056232428	293.2367970946579	38.0	301	36.36363636363637
230929-COI-COL-071-S2_S105_L001_R2_001	85360.0	83.92221180880975	295.0119259606373	37.0	301	45.45454545454545
230929-COI-COL-071-S3_S106_L001_R1_001	73410.0	82.09372020160741	296.63092221768153	39.0	301	36.36363636363637
230929-COI-COL-071-S3_S106_L001_R2_001	73410.0	84.03895926985425	296.6497207464923	38.0	301	45.45454545454545
230929-COI-COL-072-B1_S113_L001_R1_001	83979.0	81.28817918765405	282.48301361054547	38.0	301	36.36363636363637
230929-COI-COL-072-B1_S113_L001_R2_001	83979.0	83.73879184081736	285.4722847378511	37.0	301	45.45454545454545
230929-COI-COL-072-B2_S114_L001_R1_001	69394.0	85.62699945240223	293.71181946565986	37.0	294	45.45454545454545
230929-COI-COL-072-B2_S114_L001_R2_001	69394.0	88.32031587745338	297.74454563795143	35.0	301	45.45454545454545
230929-COI-COL-072-S1_S110_L001_R1_001	86931.0	78.61752424336542	277.98008765572695	35.0	301	45.45454545454545
230929-COI-COL-072-S1_S110_L001_R2_001	86931.0	81.11030587477424	279.83749180384444	34.0	301	45.45454545454545
230929-COI-COL-072-S2_S111_L001_R1_001	98251.0	79.54015735208802	233.49762343385817	36.0	301	36.36363636363637
230929-COI-COL-072-S2_S111_L001_R2_001	98251.0	78.20073078136609	237.50775055724623	35.0	301	45.45454545454545
230929-COI-COL-072-S3_S112_L001_R1_001	77462.0	80.03020836022824	287.28118303168003	37.0	301	36.36363636363637
230929-COI-COL-072-S3_S112_L001_R2_001	77462.0	83.49900596421472	288.1435800779737	35.0	301	45.45454545454545
230929-COI-COL-073-B1_S118_L001_R1_001	89543.0	80.65510425158863	298.2159967836682	38.0	301	36.36363636363637
230929-COI-COL-073-B1_S118_L001_R2_001	89543.0	80.66962241604593	298.39068380554596	37.0	301	45.45454545454545
230929-COI-COL-073-B2_S119_L001_R1_001	81078.0	80.34608648461975	296.32767211820715	37.0	301	36.36363636363637
230929-COI-COL-073-B2_S119_L001_R2_001	81078.0	83.91548878857397	297.8666222649794	36.0	301	45.45454545454545
230929-COI-COL-073-B3_S120_L001_R1_001	70368.0	76.65700318326512	295.34402000909506	37.0	301	36.36363636363637
230929-COI-COL-073-B3_S120_L001_R2_001	70368.0	80.77393133242383	296.11839188267396	36.0	301	45.45454545454545
230929-COI-COL-073-S1_S115_L001_R1_001	46946.0	75.11609082775955	295.3302517786393	37.0	301	36.36363636363637
230929-COI-COL-073-S1_S115_L001_R2_001	46946.0	78.20687598517446	296.62322668597966	35.0	301	45.45454545454545
230929-COI-COL-073-S2_S116_L001_R1_001	80467.0	83.33726869399878	296.5238172169958	39.0	301	36.36363636363637
230929-COI-COL-073-S2_S116_L001_R2_001	80467.0	83.06262194439957	299.1619918724446	37.0	301	45.45454545454545
230929-COI-COL-073-S3_S117_L001_R1_001	61449.0	81.58147406792625	295.5430356881316	37.0	294	36.36363636363637
230929-COI-COL-073-S3_S117_L001_R2_001	61449.0	81.34713339517323	298.7819980797084	36.0	301	45.45454545454545
230929-COI-COL-074-B1_S124_L001_R1_001	84341.0	79.81645937325855	297.510736178134	38.0	301	36.36363636363637
230929-COI-COL-074-B1_S124_L001_R2_001	84341.0	81.88188425558151	298.4415408875873	37.0	301	45.45454545454545
